Match,Team,Odds,Est. Prob,EV,Kelly Stake %
Chelsea vs Manchester United,Manchester United,8.5,1.0,7.5,0.5
Everton vs Southampton,Southampton,7.5,0.976,6.32,0.486
Aston Villa vs Tottenham Hotspur,Tottenham Hotspur,7.0,1.0,6.0,0.5
Aston Villa vs Tottenham Hotspur,Draw,5.6,1.0,4.6,0.5
Manchester City vs Bournemouth,Bournemouth,5.6,1.0,4.6,0.5
Chelsea vs Manchester United,Draw,5.4,1.0,4.4,0.5
Everton vs Southampton,Draw,4.7,0.976,3.587,0.485
Manchester City vs Bournemouth,Draw,4.5,1.0,3.5,0.5
Brentford vs Fulham,Draw,4.0,1.0,3.0,0.5
Brentford vs Fulham,Fulham,3.9,1.0,2.9,0.5
Brighton and Hove Albion vs Liverpool,Draw,3.8,1.0,2.8,0.5
Arsenal vs Newcastle United,Newcastle United,3.7,1.0,2.7,0.5
Arsenal vs Newcastle United,Draw,3.6,1.0,2.6,0.5
Leicester City vs Ipswich Town,Draw,3.6,1.0,2.6,0.5
Crystal Palace vs Wolverhampton Wanderers,Draw,3.3,1.0,2.3,0.5
Crystal Palace vs Wolverhampton Wanderers,Wolverhampton Wanderers,3.3,1.0,2.3,0.5
West Ham United vs Nottingham Forest,Draw,3.3,1.0,2.3,0.5
Brighton and Hove Albion vs Liverpool,Brighton and Hove Albion,3.0,1.0,2.0,0.5
Leicester City vs Ipswich Town,Ipswich Town,3.0,1.0,2.0,0.5
West Ham United vs Nottingham Forest,West Ham United,2.8,1.0,1.8,0.5
West Ham United vs Nottingham Forest,Nottingham Forest,2.5,1.0,1.5,0.5
Leicester City vs Ipswich Town,Leicester City,2.25,1.0,1.25,0.5
Crystal Palace vs Wolverhampton Wanderers,Crystal Palace,2.25,1.0,1.25,0.5
Brighton and Hove Albion vs Liverpool,Liverpool,2.2,1.0,1.2,0.5
Arsenal vs Newcastle United,Arsenal,1.95,1.0,0.95,0.5
Brentford vs Fulham,Brentford,1.83,1.0,0.83,0.5
Manchester City vs Bournemouth,Manchester City,1.54,1.0,0.54,0.5
Everton vs Southampton,Everton,1.4,0.976,0.366,0.458
Aston Villa vs Tottenham Hotspur,Aston Villa,1.36,1.0,0.36,0.5
Chelsea vs Manchester United,Chelsea,1.33,1.0,0.33,0.5
